EAL: Detected CPU lcores: 6
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:1a:00.1 (socket -1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000116; avg_replies=0.000000; pps=2840.999974;
ndpip_rx_thread: avg_burst=0.000471; avg_replies=0.000000; pps=11446.999679;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11445.999966;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11445.999828;
ndpip_rx_thread: avg_burst=0.000422; avg_replies=0.000000; pps=11460.999794;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11451.999611;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11439.999680;
ndpip_rx_thread: avg_burst=0.000420; avg_replies=0.000000; pps=11412.999852;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11457.999610;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11436.999668;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11444.999657;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11439.999783;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11445.999989;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11451.997984;
ndpip_rx_thread: avg_burst=0.000421; avg_replies=0.000000; pps=11445.999851;
ndpip_rx_thread: avg_burst=0.000420; avg_replies=0.000000; pps=11426.999520;
ndpip_rx_thread: avg_burst=0.000035; avg_replies=0.000000; pps=947.999982;
