EAL: Detected CPU lcores: 6
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:1a:00.1 (socket -1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.008611; avg_replies=0.000000; pps=183078.846946;
ndpip_rx_thread: avg_burst=0.051732; avg_replies=0.000000; pps=656573.625753;
ndpip_rx_thread: avg_burst=0.052937; avg_replies=0.000000; pps=711061.680733;
ndpip_rx_thread: avg_burst=0.047463; avg_replies=0.000000; pps=673257.730024;
ndpip_rx_thread: avg_burst=0.047453; avg_replies=0.000000; pps=673039.669538;
ndpip_rx_thread: avg_burst=0.052945; avg_replies=0.000000; pps=711300.868409;
ndpip_rx_thread: avg_burst=0.047557; avg_replies=0.000000; pps=673830.986523;
ndpip_rx_thread: avg_burst=0.047415; avg_replies=0.000000; pps=672273.977143;
ndpip_rx_thread: avg_burst=0.053217; avg_replies=0.000000; pps=712995.771128;
ndpip_rx_thread: avg_burst=0.047470; avg_replies=0.000000; pps=672759.868812;
ndpip_rx_thread: avg_burst=0.047524; avg_replies=0.000000; pps=673057.997308;
ndpip_rx_thread: avg_burst=0.050771; avg_replies=0.000000; pps=696081.984686;
ndpip_rx_thread: avg_burst=0.049271; avg_replies=0.000000; pps=685153.941762;
ndpip_rx_thread: avg_burst=0.047523; avg_replies=0.000000; pps=673231.997980;
ndpip_rx_thread: avg_burst=0.047343; avg_replies=0.000000; pps=671244.710022;
ndpip_rx_thread: avg_burst=0.038007; avg_replies=0.000000; pps=595205.975001;
