EAL: Detected CPU lcores: 6
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:1a:00.1 (socket -1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.010060; avg_replies=0.000000; pps=212038.997668;
ndpip_rx_thread: avg_burst=0.072876; avg_replies=0.000000; pps=814349.918565;
ndpip_rx_thread: avg_burst=0.064737; avg_replies=0.000000; pps=818118.983638;
ndpip_rx_thread: avg_burst=0.065276; avg_replies=0.000000; pps=821065.954841;
ndpip_rx_thread: avg_burst=0.073399; avg_replies=0.000000; pps=864818.852981;
ndpip_rx_thread: avg_burst=0.065272; avg_replies=0.000000; pps=821727.446156;
ndpip_rx_thread: avg_burst=0.065285; avg_replies=0.000000; pps=821479.538328;
ndpip_rx_thread: avg_burst=0.065238; avg_replies=0.000000; pps=820974.819386;
ndpip_rx_thread: avg_burst=0.065349; avg_replies=0.000000; pps=821696.847164;
ndpip_rx_thread: avg_burst=0.065309; avg_replies=0.000000; pps=821236.438274;
ndpip_rx_thread: avg_burst=0.065466; avg_replies=0.000000; pps=822150.676895;
ndpip_rx_thread: avg_burst=0.065325; avg_replies=0.000000; pps=821340.659144;
ndpip_rx_thread: avg_burst=0.022013; avg_replies=0.000000; pps=431081.981895;
