EAL: Detected CPU lcores: 6
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:1a:00.1 (socket -1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.008315; avg_replies=0.000000; pps=178502.974296;
ndpip_rx_thread: avg_burst=0.054740; avg_replies=0.000000; pps=690595.997928;
ndpip_rx_thread: avg_burst=0.052011; avg_replies=0.000000; pps=720856.568207;
ndpip_rx_thread: avg_burst=0.047307; avg_replies=0.000000; pps=687423.800647;
ndpip_rx_thread: avg_burst=0.047791; avg_replies=0.000000; pps=690203.588639;
ndpip_rx_thread: avg_burst=0.047740; avg_replies=0.000000; pps=689408.718721;
ndpip_rx_thread: avg_burst=0.047592; avg_replies=0.000000; pps=689504.979315;
ndpip_rx_thread: avg_burst=0.052628; avg_replies=0.000000; pps=726118.941184;
ndpip_rx_thread: avg_burst=0.047834; avg_replies=0.000000; pps=690166.854375;
ndpip_rx_thread: avg_burst=0.047687; avg_replies=0.000000; pps=689043.911802;
ndpip_rx_thread: avg_burst=0.047809; avg_replies=0.000000; pps=689284.913150;
ndpip_rx_thread: avg_burst=0.047917; avg_replies=0.000000; pps=690419.966860;
ndpip_rx_thread: avg_burst=0.052892; avg_replies=0.000000; pps=726301.973127;
ndpip_rx_thread: avg_burst=0.005188; avg_replies=0.000000; pps=129419.994823;
