EAL: Detected CPU lcores: 6
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:1a:00.1 (socket -1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000102; avg_replies=0.000000; pps=2489.999930;
ndpip_rx_thread: avg_burst=0.000409; avg_replies=0.000000; pps=9942.999602;
ndpip_rx_thread: avg_burst=0.000366; avg_replies=0.000000; pps=9944.999572;
ndpip_rx_thread: avg_burst=0.000366; avg_replies=0.000000; pps=9975.999930;
ndpip_rx_thread: avg_burst=0.000367; avg_replies=0.000000; pps=9979.999800;
ndpip_rx_thread: avg_burst=0.000367; avg_replies=0.000000; pps=9987.999970;
ndpip_rx_thread: avg_burst=0.000367; avg_replies=0.000000; pps=9990.999740;
ndpip_rx_thread: avg_burst=0.000367; avg_replies=0.000000; pps=9978.999790;
ndpip_rx_thread: avg_burst=0.000366; avg_replies=0.000000; pps=9966.999940;
ndpip_rx_thread: avg_burst=0.000366; avg_replies=0.000000; pps=9972.999661;
ndpip_rx_thread: avg_burst=0.000366; avg_replies=0.000000; pps=9973.999900;
ndpip_rx_thread: avg_burst=0.000366; avg_replies=0.000000; pps=9968.999900;
ndpip_rx_thread: avg_burst=0.000367; avg_replies=0.000000; pps=9978.999850;
ndpip_rx_thread: avg_burst=0.000367; avg_replies=0.000000; pps=9981.999651;
ndpip_rx_thread: avg_burst=0.000367; avg_replies=0.000000; pps=9983.999870;
ndpip_rx_thread: avg_burst=0.000367; avg_replies=0.000000; pps=9986.999870;
ndpip_rx_thread: avg_burst=0.000257; avg_replies=0.000000; pps=7004.999664;
