EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000001; avg_replies=0.000000; pps=56.996682;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999960;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999602;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999946;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999973;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999989;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999970;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999601;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999989;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999994;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999975;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999911;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999936;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999939;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999926;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=1.999791;
