EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=1.999749;
ndpip_rx_thread: avg_burst=0.005264; avg_replies=0.000000; pps=282840.683971;
ndpip_rx_thread: avg_burst=0.005220; avg_replies=0.000000; pps=280610.187893;
ndpip_rx_thread: avg_burst=0.005228; avg_replies=0.000000; pps=281050.187039;
ndpip_rx_thread: avg_burst=0.005103; avg_replies=0.000000; pps=274038.462788;
ndpip_rx_thread: avg_burst=0.005168; avg_replies=0.000000; pps=277141.280364;
ndpip_rx_thread: avg_burst=0.005203; avg_replies=0.000000; pps=280107.729893;
ndpip_rx_thread: avg_burst=0.005164; avg_replies=0.000000; pps=277423.444859;
ndpip_rx_thread: avg_burst=0.005112; avg_replies=0.000000; pps=274847.886019;
ndpip_rx_thread: avg_burst=0.005064; avg_replies=0.000000; pps=271927.459634;
ndpip_rx_thread: avg_burst=0.005157; avg_replies=0.000000; pps=276469.918917;
ndpip_rx_thread: avg_burst=0.005185; avg_replies=0.000000; pps=279076.086822;
ndpip_rx_thread: avg_burst=0.005203; avg_replies=0.000000; pps=280168.953240;
ndpip_rx_thread: avg_burst=0.005199; avg_replies=0.000000; pps=279105.939453;
ndpip_rx_thread: avg_burst=0.005117; avg_replies=0.000000; pps=274369.793776;
ndpip_rx_thread: avg_burst=0.005136; avg_replies=0.000000; pps=275403.745021;
ndpip_rx_thread: avg_burst=0.005244; avg_replies=0.000000; pps=282063.964752;
ndpip_rx_thread: avg_burst=0.001862; avg_replies=0.000000; pps=116955.525203;
