EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000005; avg_replies=0.000000; pps=435.992821;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999885;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999972;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999639;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999891;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999864;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999909;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999858;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999902;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999940;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999913;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999805;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999960;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999923;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999947;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=1.999789;
