EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000003; avg_replies=0.000000; pps=197.985718;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999559;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999673;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999624;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999907;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999687;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999462;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999725;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999694;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999912;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999857;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999672;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999932;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999580;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999796;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=2.999886;
