EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.004982; avg_replies=0.000000; pps=301034.880561;
ndpip_rx_thread: avg_burst=0.014483; avg_replies=0.000000; pps=694696.284798;
ndpip_rx_thread: avg_burst=0.014534; avg_replies=0.000000; pps=693191.861652;
ndpip_rx_thread: avg_burst=0.014525; avg_replies=0.000000; pps=692310.167242;
ndpip_rx_thread: avg_burst=0.014533; avg_replies=0.000000; pps=692722.000079;
ndpip_rx_thread: avg_burst=0.014595; avg_replies=0.000000; pps=696287.670957;
ndpip_rx_thread: avg_burst=0.014444; avg_replies=0.000000; pps=694176.163807;
ndpip_rx_thread: avg_burst=0.014427; avg_replies=0.000000; pps=692072.488931;
ndpip_rx_thread: avg_burst=0.014503; avg_replies=0.000000; pps=692016.600220;
ndpip_rx_thread: avg_burst=0.014554; avg_replies=0.000000; pps=693897.383679;
ndpip_rx_thread: avg_burst=0.014580; avg_replies=0.000000; pps=695231.843015;
ndpip_rx_thread: avg_burst=0.014313; avg_replies=0.000000; pps=687306.166809;
ndpip_rx_thread: avg_burst=0.014517; avg_replies=0.000000; pps=693010.159846;
ndpip_rx_thread: avg_burst=0.014523; avg_replies=0.000000; pps=692252.811088;
ndpip_rx_thread: avg_burst=0.014531; avg_replies=0.000000; pps=695583.994605;
ndpip_rx_thread: avg_burst=0.005921; avg_replies=0.000000; pps=347977.997405;
