EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=1.999796;
ndpip_rx_thread: avg_burst=0.006945; avg_replies=0.000000; pps=524022.855236;
ndpip_rx_thread: avg_burst=0.010074; avg_replies=0.000000; pps=698953.058357;
ndpip_rx_thread: avg_burst=0.010024; avg_replies=0.000000; pps=696836.294265;
ndpip_rx_thread: avg_burst=0.010074; avg_replies=0.000000; pps=699542.333514;
ndpip_rx_thread: avg_burst=0.010096; avg_replies=0.000000; pps=699954.869657;
ndpip_rx_thread: avg_burst=0.010076; avg_replies=0.000000; pps=698640.408958;
ndpip_rx_thread: avg_burst=0.010043; avg_replies=0.000000; pps=697854.802783;
ndpip_rx_thread: avg_burst=0.010080; avg_replies=0.000000; pps=698693.903850;
ndpip_rx_thread: avg_burst=0.010094; avg_replies=0.000000; pps=699618.185607;
ndpip_rx_thread: avg_burst=0.010116; avg_replies=0.000000; pps=701114.894130;
ndpip_rx_thread: avg_burst=0.010035; avg_replies=0.000000; pps=697660.870528;
ndpip_rx_thread: avg_burst=0.010054; avg_replies=0.000000; pps=696920.342892;
ndpip_rx_thread: avg_burst=0.010083; avg_replies=0.000000; pps=697738.359263;
ndpip_rx_thread: avg_burst=0.010094; avg_replies=0.000000; pps=701143.372857;
ndpip_rx_thread: avg_burst=0.010062; avg_replies=0.000000; pps=699215.816494;
ndpip_rx_thread: avg_burst=0.000777; avg_replies=0.000000; pps=71082.939677;
