EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000001; avg_replies=0.000000; pps=88.960224;
ndpip_rx_thread: avg_burst=0.000179; avg_replies=0.000000; pps=11971.526796;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999767;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999584;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999787;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999928;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999777;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999649;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999577;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999776;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999475;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999620;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999441;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999815;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999944;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=1.999729;
