EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000439; avg_replies=0.000000; pps=35350.591892;
ndpip_rx_thread: avg_burst=0.003499; avg_replies=0.000000; pps=140984.155501;
ndpip_rx_thread: avg_burst=0.003491; avg_replies=0.000000; pps=140840.351866;
ndpip_rx_thread: avg_burst=0.003491; avg_replies=0.000000; pps=140836.289790;
ndpip_rx_thread: avg_burst=0.003485; avg_replies=0.000000; pps=140720.648558;
ndpip_rx_thread: avg_burst=0.003484; avg_replies=0.000000; pps=140701.936778;
ndpip_rx_thread: avg_burst=0.003480; avg_replies=0.000000; pps=140643.032207;
ndpip_rx_thread: avg_burst=0.003480; avg_replies=0.000000; pps=140645.574725;
ndpip_rx_thread: avg_burst=0.003480; avg_replies=0.000000; pps=140642.194242;
ndpip_rx_thread: avg_burst=0.003478; avg_replies=0.000000; pps=140588.477691;
ndpip_rx_thread: avg_burst=0.003478; avg_replies=0.000000; pps=140598.702787;
ndpip_rx_thread: avg_burst=0.003477; avg_replies=0.000000; pps=140577.919066;
ndpip_rx_thread: avg_burst=0.003476; avg_replies=0.000000; pps=140530.975502;
ndpip_rx_thread: avg_burst=0.003473; avg_replies=0.000000; pps=140501.650882;
ndpip_rx_thread: avg_burst=0.003474; avg_replies=0.000000; pps=140519.414417;
ndpip_rx_thread: avg_burst=0.003484; avg_replies=0.000000; pps=140668.204738;
ndpip_rx_thread: avg_burst=0.000159; avg_replies=0.000000; pps=14108.531274;
