EAL: Detected CPU lcores: 10
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:16:00.0 (socket 0)
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=0.999984; burst_tsc=33.248147;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504513; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504545; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504577; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504609; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504641; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504673; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504705; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504737; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504769; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504801; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504833; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=504865; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505345; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505377; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505409; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505441; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505537; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505569; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505601; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505633; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505665; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505697; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505729; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505761; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505793; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505825; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505857; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505889; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505921; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505953; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=505985; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506017; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506049; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506081; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506113; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506145; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506177; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506209; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506241; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506273; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506305; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506337; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506369; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506401; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506881; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506913; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506945; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=506977; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507009; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507041; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507073; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507105; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507137; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507169; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507201; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507233; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507265; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507297; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507329; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507361; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507393; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507425; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507457; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507489; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507521; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507553; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507585; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507617; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507649; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507681; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507713; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507745; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507777; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507809; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507841; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507873; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507905; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507937; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=507969; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=508001; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=508033; expected_seq=501345;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=508065; expected_seq=501345;
