EAL: Detected CPU lcores: 10
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:16:00.0 (socket 0)
ndpip_rx_thread: avg_burst=0.013260; avg_replies=0.000000; pps=420224.909558; burst_tsc=47.963322;
ndpip_rx_thread: avg_burst=0.035574; avg_replies=0.000000; pps=840986.979999; burst_tsc=74.873612;
ndpip_rx_thread: avg_burst=0.035608; avg_replies=0.000000; pps=841105.585771; burst_tsc=74.942022;
ndpip_rx_thread: avg_burst=0.035693; avg_replies=0.000000; pps=841017.414352; burst_tsc=75.197233;
ndpip_rx_thread: avg_burst=0.035569; avg_replies=0.000000; pps=841131.142920; burst_tsc=74.825252;
ndpip_rx_thread: avg_burst=0.035547; avg_replies=0.000000; pps=840986.975492; burst_tsc=74.794208;
ndpip_rx_thread: avg_burst=0.035661; avg_replies=0.000000; pps=841081.170250; burst_tsc=75.113558;
ndpip_rx_thread: avg_burst=0.035664; avg_replies=0.000000; pps=840996.640681; burst_tsc=75.117465;
ndpip_rx_thread: avg_burst=0.035658; avg_replies=0.000000; pps=841128.894671; burst_tsc=75.081183;
ndpip_rx_thread: avg_burst=0.035601; avg_replies=0.000000; pps=841010.568971; burst_tsc=74.932646;
ndpip_rx_thread: avg_burst=0.035650; avg_replies=0.000000; pps=841128.973376; burst_tsc=75.057872;
ndpip_rx_thread: avg_burst=0.035721; avg_replies=0.000000; pps=841014.757058; burst_tsc=75.300424;
ndpip_rx_thread: avg_burst=0.035666; avg_replies=0.000000; pps=841116.573680; burst_tsc=75.127366;
ndpip_rx_thread: avg_burst=0.035751; avg_replies=0.000000; pps=841017.371248; burst_tsc=75.382380;
ndpip_rx_thread: avg_burst=0.035724; avg_replies=0.000000; pps=841132.512622; burst_tsc=75.280786;
ndpip_rx_thread: avg_burst=0.035621; avg_replies=0.000000; pps=841020.143347; burst_tsc=74.992209;
ndpip_rx_thread: avg_burst=0.035725; avg_replies=0.000000; pps=841130.027658; burst_tsc=75.291224;
