EAL: Detected CPU lcores: 10
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:16:00.0 (socket 0)
ndpip_rx_thread: avg_burst=0.000013; avg_replies=0.000000; pps=500.981255; burst_tsc=32.581371;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999124; burst_tsc=32.072504;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999773; burst_tsc=32.067385;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999051; burst_tsc=32.059971;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999086; burst_tsc=32.057115;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999308; burst_tsc=32.061669;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999433; burst_tsc=32.056770;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999976; burst_tsc=32.059579;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999697; burst_tsc=32.066237;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999579; burst_tsc=32.055826;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999573; burst_tsc=32.061715;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999814; burst_tsc=32.060725;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999673; burst_tsc=32.056623;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999736; burst_tsc=32.052249;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999146; burst_tsc=32.066403;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999032; burst_tsc=32.058891;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.998995; burst_tsc=32.060925;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999984; burst_tsc=32.064123;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999916; burst_tsc=32.062654;
