EAL: Detected CPU lcores: 128
EAL: Detected NUMA nodes: 2
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'PA'
EAL: VFIO support initialized
EAL: Probe PCI driver: mlx5_pci (15b3:101d) device: 0000:ca:00.0 (socket 1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.001836; avg_replies=0.000000; pps=35873.998673;
ndpip_rx_thread: avg_burst=0.001802; avg_replies=0.000000; pps=36007.998488;
ndpip_rx_thread: avg_burst=0.001797; avg_replies=0.000000; pps=35917.998887;
ndpip_rx_thread: avg_burst=0.001801; avg_replies=0.000000; pps=35996.998632;
ndpip_rx_thread: avg_burst=0.001802; avg_replies=0.000000; pps=36015.998271;
ndpip_rx_thread: avg_burst=0.001800; avg_replies=0.000000; pps=35998.999460;
ndpip_rx_thread: avg_burst=0.001801; avg_replies=0.000000; pps=36003.998272;
ndpip_rx_thread: avg_burst=0.001801; avg_replies=0.000000; pps=35996.999856;
ndpip_rx_thread: avg_burst=0.001801; avg_replies=0.000000; pps=36000.998272;
ndpip_rx_thread: avg_burst=0.001800; avg_replies=0.000000; pps=35996.999928;
ndpip_rx_thread: avg_burst=0.001801; avg_replies=0.000000; pps=36011.998487;
ndpip_rx_thread: avg_burst=0.001800; avg_replies=0.000000; pps=35972.954710;
ndpip_rx_thread: avg_burst=0.001801; avg_replies=0.000000; pps=35999.999172;
ndpip_rx_thread: avg_burst=0.001803; avg_replies=0.000000; pps=36014.999604;
ndpip_rx_thread: avg_burst=0.001800; avg_replies=0.000000; pps=35992.999028;
ndpip_rx_thread: avg_burst=0.001799; avg_replies=0.000000; pps=35964.999245;
ndpip_rx_thread: avg_burst=0.001796; avg_replies=0.000000; pps=35921.999784;
ndpip_rx_thread: avg_burst=0.001797; avg_replies=0.000000; pps=35932.998383;
