EAL: Detected CPU lcores: 128
EAL: Detected NUMA nodes: 2
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'PA'
EAL: VFIO support initialized
EAL: Probe PCI driver: mlx5_pci (15b3:101d) device: 0000:ca:00.0 (socket 1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.003889; avg_replies=0.000000; pps=72777.998690;
ndpip_rx_thread: avg_burst=0.003806; avg_replies=0.000000; pps=72818.999272;
ndpip_rx_thread: avg_burst=0.003805; avg_replies=0.000000; pps=72834.983029;
ndpip_rx_thread: avg_burst=0.003805; avg_replies=0.000000; pps=72820.997378;
ndpip_rx_thread: avg_burst=0.003806; avg_replies=0.000000; pps=72834.997087;
ndpip_rx_thread: avg_burst=0.003803; avg_replies=0.000000; pps=72841.998397;
ndpip_rx_thread: avg_burst=0.003803; avg_replies=0.000000; pps=72814.999345;
ndpip_rx_thread: avg_burst=0.003809; avg_replies=0.000000; pps=72858.997304;
ndpip_rx_thread: avg_burst=0.003795; avg_replies=0.000000; pps=72603.997531;
ndpip_rx_thread: avg_burst=0.003652; avg_replies=0.000000; pps=70104.970766;
ndpip_rx_thread: avg_burst=0.003800; avg_replies=0.000000; pps=72774.998690;
ndpip_rx_thread: avg_burst=0.003806; avg_replies=0.000000; pps=72835.996577;
ndpip_rx_thread: avg_burst=0.003807; avg_replies=0.000000; pps=72846.998689;
ndpip_rx_thread: avg_burst=0.003806; avg_replies=0.000000; pps=72832.998908;
ndpip_rx_thread: avg_burst=0.003798; avg_replies=0.000000; pps=72677.997384;
ndpip_rx_thread: avg_burst=0.003806; avg_replies=0.000000; pps=72816.996359;
ndpip_rx_thread: avg_burst=0.003800; avg_replies=0.000000; pps=72767.999491;
ndpip_rx_thread: avg_burst=0.003799; avg_replies=0.000000; pps=72687.998910;
