EAL: Detected CPU lcores: 128
EAL: Detected NUMA nodes: 2
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Probe PCI driver: mlx5_pci (15b3:101d) device: 0000:81:00.0 (socket 1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.005208; avg_replies=0.000000; pps=122975.998893;
ndpip_rx_thread: avg_burst=0.004334; avg_replies=0.000000; pps=103598.996996;
ndpip_rx_thread: avg_burst=0.004239; avg_replies=0.000000; pps=101347.998176;
ndpip_rx_thread: avg_burst=0.004309; avg_replies=0.000000; pps=103020.998043;
ndpip_rx_thread: avg_burst=0.004372; avg_replies=0.000000; pps=104406.998016;
ndpip_rx_thread: avg_burst=0.004351; avg_replies=0.000000; pps=104124.997085;
ndpip_rx_thread: avg_burst=0.004432; avg_replies=0.000000; pps=105698.994821;
ndpip_rx_thread: avg_burst=0.004330; avg_replies=0.000000; pps=103698.998030;
ndpip_rx_thread: avg_burst=0.001068; avg_replies=0.000000; pps=26681.999787;
