EAL: Detected CPU lcores: 128
EAL: Detected NUMA nodes: 2
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Probe PCI driver: mlx5_pci (15b3:101d) device: 0000:81:00.0 (socket 1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.005088; avg_replies=0.000000; pps=120355.998917;
ndpip_rx_thread: avg_burst=0.004648; avg_replies=0.000000; pps=110441.994588;
ndpip_rx_thread: avg_burst=0.004544; avg_replies=0.000000; pps=108129.995891;
ndpip_rx_thread: avg_burst=0.004417; avg_replies=0.000000; pps=105288.998000;
ndpip_rx_thread: avg_burst=0.004606; avg_replies=0.000000; pps=109541.973819;
ndpip_rx_thread: avg_burst=0.004567; avg_replies=0.000000; pps=108749.996846;
ndpip_rx_thread: avg_burst=0.004810; avg_replies=0.000000; pps=114141.982993;
ndpip_rx_thread: avg_burst=0.004648; avg_replies=0.000000; pps=110447.999006;
ndpip_rx_thread: avg_burst=0.001996; avg_replies=0.000000; pps=49009.998089;
