EAL: Detected CPU lcores: 128
EAL: Detected NUMA nodes: 2
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Probe PCI driver: mlx5_pci (15b3:101d) device: 0000:81:00.0 (socket 1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.004772; avg_replies=0.000000; pps=113440.998979;
ndpip_rx_thread: avg_burst=0.004128; avg_replies=0.000000; pps=99077.997127;
ndpip_rx_thread: avg_burst=0.003996; avg_replies=0.000000; pps=96016.996351;
ndpip_rx_thread: avg_burst=0.004146; avg_replies=0.000000; pps=99524.996119;
ndpip_rx_thread: avg_burst=0.004168; avg_replies=0.000000; pps=100059.996098;
ndpip_rx_thread: avg_burst=0.004011; avg_replies=0.000000; pps=96428.995371;
ndpip_rx_thread: avg_burst=0.004196; avg_replies=0.000000; pps=100770.998085;
ndpip_rx_thread: avg_burst=0.004111; avg_replies=0.000000; pps=98770.995160;
ndpip_rx_thread: avg_burst=0.001083; avg_replies=0.000000; pps=27108.999783;
